,explanation,type,word
76,entertainer; who performs or takes part in a play or performance of any kind,n. Syn. entertainer; actor,performer
77,"pleasing, agreeable scent or odor",n. Syn. scent; aroma; fragrance,perfume
78,"danger; risk; hazard; jeopardy; exposure of person or property to injury, loss, or destruction",n. Syn. danger; risk; hazard; jeopardy,peril
79,outer boundary length; closed curve bounding a plane area,n. Syn. edge; periphery,perimeter
80,"duration, continuance, term; end of something",n. ,period
81,repeated; recurring at intervals of time,a. Syn. repeated; recurrent,periodic
82,publication that appears at fixed intervals,n. ,periodical
83,located in outer boundary; unimportant; auxiliary,a. Syn. marginal; outer,peripheral
84,be destroyed; pass away; become nothing,v. ,perish
85,remaining without essential change,a. Syn. everlasting; perpetual,permanent
86,consent; approval to do something,n. Syn. consent; approbation,permission
87,approving; tolerant; granting; not strict in discipline,a. Syn. approving; tolerant,permissive
88,consent to; give permission,v. Syn. allow,permit
89,vertical; upright; intersecting at or forming right angles; extremely steep,a. Syn. vertical; upright,perpendicular
90,everlasting; continuing without interruption,a. Syn. continual,perpetual
91,baffle; confuse,v. ,perplex
92,"pursue in a manner to injure, grieve, or afflict; beset with cruelty or malignity; harass; annoy",v. ,persecute
93,"act of persecuting on the basis of race, religion, gender, sexual orientation, or beliefs that differ from those of the persecutor",n. ,persecution
94,endurance; steady persistence in adhering to a course of action,n. Syn. endurance; persistence,perseverance
95,"endure; be persistent, refuse to stop",v. ,persevere
96,continue; insist; persevere,v. Syn. continue; insist; persevere,persist
97,endurance; tenacity;  state or quality of being persistent; persistency,n. Syn. endurance; tenacity,persistence
98,particular to a given individual; concerning or affecting a particular person,a. ,personal
99,complex of all the attributes of a person; totality of qualities and traits of a person,n. Syn. character,personality
100,group of people willing to obey orders,n. Syn. staff; employees,personnel
101,"appearance of things; view, outlook, or vista",n. Syn. viewpoint; view,perspective
102,advise; counsel; urge the acceptance or practice of; convince,v. Syn. convince,persuade
103,"belong; have connection with, or dependence on",v. ,pertain
104,having precise or logical relevance; pertaining or relating,a. Syn. relevant,pertinent
105,disturb greatly; make uneasy or anxious; throw into great confusion,v. ,perturb
106,"read or examine, typically with great care",v. ,peruse
107,persistently annoying person; organism that injures livestock or crops,n. Syn. nuisance,pest
108,animal kept for amusement or companionship,n. ,pet
109,plea; formal message requesting something,n. Syn. plea; request,petition
110,dark oil consisting mainly of hydrocarbons ,n. ,petroleum
111,trivial; of small importance; very small,a. Syn. trivial; unimportant,petty
112,any distinct time period in a sequence of events; stage,n. Syn. stage; moment,phase
113,"appearance; anything visible, in matter or spirit; extraordinary or very remarkable person, thing, or occurrence",n. ,phenomenon
114,"body of highest truth; investigation of nature, causes, or principles of reality, knowledge, or values, based on logical reasoning",n. ,philosophy
115,branch of acoustics concerned with speech processes including its production and perception and acoustic analysis,n. ,phonetics
116,picture or likeness obtained by photography,n. ,photograph
117,"brief expression, sometimes a single word, but usually two or more words forming an expression",n. ,phrase
118,relating to the body as distinguished from the mind or spirit,a. ,physical
119,"person skilled in physic, or the art of healing; one duty authorized to treat diseases; doctor of medicine",n. ,physician
120,stringed instrument that is played by depressing keys,n. ,piano
121,"remove something with the fingers, or with the teeth; separate as choice or desirable",v. Syn. choose; select,pick
122,eat in the open air; have informal meal eaten outside or on an excursion,v. ,picnic
123,scenic; striking or interesting in an unusual way,a. Syn. scenic; beautiful,picturesque
124,landing place; platform built out from shore into water and supported by piles; provides access to ships,n. ,pier
125,substance used as coloring; dry coloring matter,n. Syn. coloring; dye,pigment
126,"large timber or post; heap; hair; fiber of wool, cotton; head of an arrow or spear",n. ,pile
127,"traveler; one who travels far, or in strange lands, to visit some holy place or shrine as a devotee",n. ,pilgrim
128,a dose of medicine in the form of a small pellet; something that is unpleasant or offensive,n. ,pill
129,column; post,n. ,pillar
130,a cushion to support the head of a sleeping person,n. ,pillow
131,one who guides  a course of action for others; one who operates or is licensed to operate an aircraft in flight,n. ,pilot
132,"a piece of wood, metal, generally cylindrical, used for fastening separate articles together",n. ,pin
133,"clutch; squeeze between the thumb and a finger, the jaws of a tool, or other edges",v. Syn. clutch; squeeze,pinch
134,have desire for something or someone; yearn; grieve or mourn for,v. Syn. yearn,pine
135,large sweet fleshy tropical fruit with a terminal tuft of stiff leaves,n. ,pineapple
136,originator; explorer,n. ,pioneer
137,initial; groundbreaking; originating; serving to pioneer,a. Syn. initial; original,pioneering
138,"devout; religious; exhibiting strict, traditional sense of virtue and morality",a. Syn. devout; religious,pious
139,robber on seas; one who by open violence takes the property of another on seas,n. ,pirate
140,"the smallest firearm used, intended to be fired from one hand",n. ,pistol
141,"sliding piece which either is moved by, or moves against; mechanical device that has a plunging or thrusting motion",n. ,piston
142,confront; set into opposition or rivalry,v. ,pit
143,action or manner of throwing something,n. ,pitch
144,"container for liquids, having a handle and a lip or spout for pouring; player who throws the ball from the mound to the batter",n. ,pitcher
145,epidemic disease with a high death rate; annoyance,n. ,plague
146,without elevations or depressions; flat; smooth; not rich; simple; without beauty; not handsome,n. Syn. plateau; prairie,plain
147,"flat or level surface; level of development, existence, or achievement",n. ,plane
148,celestial bodies that revolve around the sun,n. ,planet
149,farm; an area under cultivation;  a group of cultivated trees or plants,n. Syn. farm,plantation
150,"cover conspicuously, as by pasting something on; adhesive tape used in dressing wounds; a hardened surface as on a wall or ceiling",n. ,plaster
151,capable of being molded; capable of being shaped or formed; easily influenced,a. ,plastic
152,"flat piece of metal; thick sheet of metal; small, usually circular, vessel of metal or wood for food table",n. Syn. covering; plane,plate
153,highland; upland; relatively flat highland,n. Syn. highland; upland,plateau
154,stage; a raised horizontal surface,n. Syn. stage,platform
155,someone who writes plays,n. ,playwright
156,request for help; excuse or pretext,n. ,plea
157,appeal or request earnestly; enter a plea; offer as an excuse,v. ,plead
158,"agreeable sensations or emotions; excitement, relish, or happiness produced by the expectation or the enjoyment of something good, delightful, or satisfying",n. ,pleasure
159,promise solemnly and formally; binding commitment to do something,n. Syn. oath; guarantee,pledge
160,"condition or state, especially a bad state or condition",n. Syn. predicament,plight
161,small extent of ground; secret scheme or strategy,n. ,plot
162,break and turn over earth especially with a plow; move with force,v. ,plough
163,"pull or draw, especially, to pull with sudden force or effort, or to pull off or out from something",v. ,pluck
164,"something, such as a cork or a wad of cloth, used to fill a hole tightly; stopper",n. ,plug
165,checking perpendicularity; exactly vertical,a. Syn. vertical,plumb
166,craftsman who installs and repairs pipes and fixtures and appliances ,n. ,plumber
167,"feather, especially soft, downy, long, or handsome feather; an ornamental tuft of feathers; token of honor or achievement",n. ,plume
168,sound of a sudden heavy fall; well-rounded and full in form,a. Syn. chubby; fat,plump
169,"take goods of by force, or without right; spoil; sack; strip; rob",v. ,plunder
170,dive; submerge; become suddenly lower; decrease dramatically; throw oneself into a substance or place,v. Syn. dive; submerge,plunge
171,involving advantage or good; on the positive side or higher end of a scale,a. ,plus
